;경력;학력;지역;임금;고용형태;근무형태;복리후생;기업명;업종;기업규모;설립년도;연매출액;홈페이지;근로자수
0;신입;대졸이상;서울특별시;3000;기간의정함이없는근로계약;주5일근무;차량유지비제공식사제공(중식비지급);에이치원시스템;컴퓨터및주변장치,소프트웨어소매업;중소기업;2003;1,400백만원;www.h1system.com;5
1;신입;대졸이상;서울특별시;2600;기간의정함이없는근로계약;주5일근무;식사제공(1식);지디시스;시스템소프트웨어개발및공급업;중소기업;0;;www.gdsys.co.kr;10
2;신입;학력무관;경기도;2800;기간의정함이없는근로계약;주5일근무;;제이엠소프트아이엔씨;시스템소프트웨어개발및공급업;중소기업;2021;;-;3
3;신입;대졸이상;대구광역시;2900;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);위저드정보시스템;소프트웨어개발및공급업;중소기업;0;3,000백만원;www.wizis.co.kr;16
4;신입;고졸이상;대전광역시;2750;기간의정함이없는근로계약;주5일근무;;세이소프트;응용소프트웨어개발및공급업;중소기업;2007;;-;24
5;신입;학력무관;경기도;2500;기간의정함이없는근로계약;주5일근무;교육비제공식사제공(1식);세이프소프트;컴퓨터프로그래밍서비스업;중소기업;2017;3,000백만원;safesoft.co.kr;33
6;신입;대졸이상;경상남도;3000;기간의정함이없는근로계약;주5일근무;식사제공(1식);지니테크;컴퓨터프로그래밍서비스업;중소기업;2016;700백만원;www.gneetech.com;3
7;신입;대졸이상;전라북도;2700;기간의정함이있는근로계약;주5일근무;;전북과학대학산학협력단;그외기타교육기관;기타;2004;;www.jbsc.ac.kr;5
8;신입;대졸이상;대전광역시;2850;기간의정함이없는근로계약;주5일근무;;부품디비;그외기타분류안된전문,과학및기술서비스업;중소기업;1999;2,236백만원;www.partdb.com;41
9;신입;대졸이상;전라남도;2850;기간의정함이없는근로계약;주5일근무;교육비제공;바자울정보기술;시스템소프트웨어개발및공급업;중소기업;0;;www.vajaul.co.kr;26
10;신입;대졸이상;서울특별시;3000;기간의정함이없는근로계약;주5일근무;;은우소프트;컴퓨터시스템통합자문및구축서비스업;중소기업;2007;2,000백만원;www.eunwoosoft.com;20
11;신입;대졸이상;서울특별시;3000;기간의정함이없는근로계약;주5일근무;;은우소프트;컴퓨터시스템통합자문및구축서비스업;중소기업;2007;2,000백만원;www.eunwoosoft.com;20
12;신입;대졸이상;서울특별시;3000;기간의정함이없는근로계약;주5일근무;자녀학자금지원;메가투스;컴퓨터시스템통합자문및구축서비스업;중소기업;1998;;-;50
13;신입;고졸이상;충청북도;3100;기간의정함이없는근로계약;주5일근무;통근버스제공식사제공(2식);아이윈플러스;다이오드,트랜지스터및유사반도체소자제조업;중소기업;2003;36,000백만원;www.iwinplus.kr;81
