;경력;학력;지역;임금;고용형태;근무형태;복리후생;기업명;업종;기업규모;설립년도;연매출액;홈페이지;근로자수
0;3.0;대졸이상;서울특별시;4000;기간의정함이없는근로계약;주5일근무;차량유지비제공식사제공(중식비지급);에이치원시스템;컴퓨터및주변장치,소프트웨어소매업;중소기업;2003;1,400백만원;www.h1system.com;5
1;3.0;대졸이상;경상북도;5100;기간의정함이없는근로계약;주5일근무;기숙사제공식사제공(1식)자녀학자금지원직원대출제도;피엔티;그외기타특수목적용기계제조업;중견기업;2003;312,614백만원;www.epnt.co.kr;450
2;5.0;학력무관;서울특별시;3600;기간의정함이없는근로계약;주5일근무;;엠큐뷔;컴퓨터프로그래밍서비스업;중소기업;0;;-;6
3;3.0;대졸이상;경기도;5500;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);에스퓨얼셀;기타발전업;중소기업;2014;31,492백만원;www.s-fuelcell.com/;60
4;5.0;학력무관;경상남도;4000;기간의정함이없는근로계약;주5일근무;;스마트솔루션;컴퓨터프로그래밍서비스업;중소기업;2022;;smart-s.co.kr;12
5;5.0;학력무관;경상북도;5400;기간의정함이없는근로계약;주5일근무;기숙사제공식사제공(1식);브이엔에스;디스플레이제조용기계제조업;중소기업;0;3,100백만원;vnseng.co.kr;25
6;5.0;학력무관;경기도;6000;기간의정함이없는근로계약;주5일근무;통근버스제공;위트콘;비디오및기타영상기기제조업;중소기업;2019;2,000백만원;www.witconintl.com;11
7;3.0;대졸이상;대구광역시;3500;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급)자녀학자금지원;위저드정보시스템;소프트웨어개발및공급업;중소기업;0;3,000백만원;www.wizis.co.kr;16
8;5.0;대졸이상;부산광역시;4500;기간의정함이없는근로계약;주5일근무;식사제공(1식);썬소프트;응용소프트웨어개발및공급업;중소기업;0;;www.sunsoft.kr;7
9;3.0;대졸이상;경기도;4500;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);하이디스플레이;기타주변기기제조업;중소기업;2013;1,637백만원;www.hidisplay.co.kr/;8
10;3.0;학력무관;서울특별시;4000;기간의정함이없는근로계약;주5일근무;기숙사제공교육비제공식사제공(중식비지급);(유)동방이노베이션;컴퓨터시스템통합자문및구축서비스업;중소기업;2005;10,000백만원;www.dbit.kr;61
11;3.0;학력무관;서울특별시;3096;기간의정함이있는근로계약;주5일근무;교육비제공식사제공(2식);법틀;컴퓨터프로그래밍서비스업;중소기업;2017;;www.buptle.com;19
12;3.0;대졸이상;경기도;5500;기간의정함이없는근로계약;주5일근무;식사제공(1식);세이프소프트;컴퓨터프로그래밍서비스업;중소기업;2017;3,000백만원;safesoft.co.kr;33
