;직무내용;모집직종;관련직종;전공;자격면허;외국어능력;병역대체 복무자채용;고용허가제;우대조건;컴퓨터 활용능력;기타우대사항;작업환경;sqlp;a;b;c;d;e;f;g;h;i
0;서버 설치 및 기술지원;컴퓨터시스템전문가;IT기술지원전문가;전산학·컴퓨터공학(학과:전산정보공학과)정보·통신공학(학과:네트워크전공);관계없음;영어(중);비희망;;운전면허증;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;;False;False;False;False;False;False;False;False;False;False
1;"1. 담당업무
 -  RTR 기계설계 (CAD, 2D, 3D, Inventor, SOLIDWORKS )
 - 자동화 설비 설계, 기구 설계, 기계 설계, 부품 설계    
2. 경력 :  3년이상 
3. 필수 사항 : 운전가능자, 설계가능자
4. 우대 사항 : CAD 가능자, 설계 프로그램 사용 가능자, 설계 경력자
                     수학/통계학/공학계열 전공자
                     전기/전자/기계/자동차계열/메카트로닉스공학";전기·전자장비제도사(캐드원);기계·금속제도사(캐드원),컴퓨터시스템설계및분석가;기계공학(학과:기계·기계설계·메카트로닉스공학과군)기계공학(학과:기계전자공학부);자동차운전면허(필수);;비희망;;;;"CAD 가능자, 설계 프로그램 사용 가능자, 설계 경력자
수학/통계학/공학계열 전공자
전기/전자/기계/자동차계열/메카트로닉스공학";;False;False;False;False;False;True;False;False;False;False
2;"지원자격
ㆍ경력 : 경력 5년 ~ 10년(과장, 차장, 팀장급)
ㆍ기타 필수 사항
- 해당직무 근무경험, 문서작성 우수자, 장기근무 가능자
담당업무
ㆍ스마트오피스 시스템 개발 사업부 관리
ㆍ스마트오피스 시스템 백엔드 개발 및 설계
ㆍ프론트엔드 개발 지원
스킬
ㆍDocker, JAVA, JPA, MariaDB
우대사항
ㆍ웹, 앱 개발 경력 5년 이상
ㆍJava, SpringBoot, JPA, MariaDB를 활용한 개발 경험자
ㆍLinux 환경에 익숙하고 React, Next.js 등 개발 경험자
ㆍ프론트엔드 개발 경험자
ㆍFull Stack 개발 경험자
ㆍDocker 경험자
ㆍ개발 팀장 또는 개발 리더 경험자
ㆍ장기근무 가능자
ㆍ문서작성 우수자
ㆍ리더쉽 소유자
ㆍ커뮤니케이션과 문제해결 능력이 뛰어난 분
ㆍ활발한 성격을 가지고 친화력이 좋으신분
복리후생
ㆍ성장을 위한 정기적인 사내 교육 및 세미나 개최
ㆍ매년 한 번의 워크샵 또는 야유회
ㆍ주5일제, 연월차 제도, 반차 제도 및 휴가 일수 보장(년 20일)
ㆍ경조휴가, 생일자 조기 퇴근
ㆍ각종 사회보험 및 퇴직금 지급
ㆍ주차지원, 음료 및 간식 제공, 칼퇴 권장
ㆍ회사 소유의 제주 펜션(자유하는) 직원 무상 이용";시스템소프트웨어개발자(프로그래머);웹개발자,모바일애플리케이션프로그래머(앱·어플개발);;정보처리기능사(우대),리눅스마스터(우대);;비희망;;;표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;;False;False;False;False;True;True;True;False;False;False
3;"* 수소 연료전지 시스템 최적화, 평가 및 시험 분석
* 연료전지시스템 개발 관련 업무
[연료전지에너지생산 > 연료전지 연료공급계통 제작]
연료 변환장치 설계하기,연료 변환장치 생산하기,연료 변환장치 품질관리하기
[연료전지에너지생산 > 건물용 연료전지 스택 제작]
건물용 연료전지 스택 설계하기,건물용 연료전지 스택 생산하기,건물용 연료전지 스택 품질관리하기
[연료전지에너지생산 > 연료전지발전설비용 인프라 설계]
연료전지발전설비 공급인프라 설계하기,연료전지발전설비 내부인프라 설계하기,관제시스템 설계하기
[연료전지에너지생산 > 발전용 연료전지 스택 제작]
발전용 연료전지 스택 설계하기,발전용 연료전지 스택 생산하기,발전용 연료전지 스택 품질관리하기";시스템소프트웨어개발자(프로그래머);시스템소프트웨어개발자;화학공학(학과:화학공학과)전기공학(학과:전기공학과);관계없음;;비희망;;;문서작성 (워드프로세스 활용);1. 우대사항 : 석사 이상;;False;False;False;False;False;False;False;False;False;False
4;"웹 개발 인원 모집합니다.
경력5년 이상 경력자 모집합니다.";웹개발자(웹엔지니어·웹프로그래머);;;관계없음;;비희망;;;;"프로젝트별 성과급 지급
하계휴가 및 명절 보너스 지급
년말 성과급 지급";;False;False;False;False;False;False;False;False;False;False
5;"자동화 장비 미쓰비씨  PLC 프로그래머
- LCD, FA 자동화장비 제어 경력자
- 터치 작화 가능자
- 전장 회로도 가능자 우대
당사는 
- 방산 유도무기 검사 및 조립 장비 설계 제작
- LCD, OLED 모듈 공정 장비 설계 제작";산업특화응용소프트웨어프로그래머(국방,항공,교통,에너지,금융,자동차등);;;관계없음;;비희망;;차량소지자,운전면허증;;;;False;False;False;False;False;True;False;False;False;False
6;"[주요업무]
. 카메라 영상 후 처리 및 신호 처리 S/W개발
. PAN/TILT/ZOOM Motor(BLDC, Stepping) Control
. Visual C++/MFC 등을 이용한 UI 제작
. 영상보안 Application S/W개발
. Linux 시스템 포팅 및 Application 개발
. IP Camera, AI-BOX, NVR 등 제품 셋팅 및 트러블슈팅 기술지원
. 개발 및 제품 양산시 Data 분석용 응용 S/W 개발 및 SET-UP
[자격조건]
. Video Surveillance 관련 S/W 개발 경험 있으신 분 
. Camera 영상 처리 / ISP S/W 개발 경험자
. Motor control S/W 개발 경험자
. Visual C++/MFC/Matlab/Python 가능자
. HTTP, RTP/RTSP, ONVIF 및 네트워크보안 이해와 실무 경험자
. 네트워크 통신 개발 경험자 (Open source 포팅 및 Application 개발)
. Linux 환경 개발 경험자
. 장비프로그램 개발 및 영상처리 S/W 개발 경험자
[우대사항]
. Video Codec & RTSP & Onvif Stream 유경험자
. CCTV/NVR/VMS 관제시스템 S/W 유경험자
. Net Remoting (WCF*) 유경험자
. Deep Learning Framework (TensorFlow, Pytorch 등) 기반 개발 경험. 
. Detection, Classification, Recognition 등 영상/음원 분석 알고리즘 개발 경험자";산업용전자제품개발기술자및연구원;응용소프트웨어개발자,컴퓨터하드웨어기술자및연구원;전자공학(학과:전자·컴퓨터·전기·제어공학부)응용소프트웨어공학(학과:소프트웨어개발전공);관계없음;영어(중);비희망;;(준)고령자(50세이상),차량소지자,운전면허증;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;;False;False;False;False;False;True;False;False;False;True
7;"C# 활용, Java, Visual Basic  프로그램 개발 
1. 진취적이고, 적극적이며, 긍정적, 유화적 마인드를 가자신 분이 개발에 흥미를 가진분은 지원을 해 주세요 .
2. 업체 협의를 위한 방문이 필요하므로 운전가능 하신분 지원 해 주세요.  
